algorithm,case,max_frontier,nodes_expanded,path_cost,path_len,success,time_ms
bfs,easy,429,3556,15.0,22,True,26
dfs_fixed,easy,216,449,233.0,332,True,3
dfs_random,easy,519,835,483.0,656,True,7
dfs_random,easy,462,999,417.0,586,True,8
dfs_random,easy,163,263,147.0,202,True,2
dfs_random,easy,748,1760,689.0,950,True,16
dfs_random,easy,592,1358,569.0,770,True,11
best_first,easy,309,918,15.0,22,True,9
astar,easy,606,1681,15.0,24,True,27
bfs,medium,446,1721,12.0,16,True,12
dfs_fixed,medium,182,371,184.0,270,True,2
dfs_random,medium,260,338,198.0,280,True,4
dfs_random,medium,420,855,418.0,562,True,13
dfs_random,medium,518,1052,490.0,656,True,16
dfs_random,medium,685,1410,676.0,900,True,13
dfs_random,medium,354,518,300.0,420,True,4
best_first,medium,299,775,14.0,18,True,8
astar,medium,395,885,12.0,16,True,26
bfs,hard,440,2683,11.0,18,True,45
dfs_fixed,hard,188,381,197.0,294,True,7
dfs_random,hard,263,421,225.0,314,True,9
dfs_random,hard,574,1252,519.0,730,True,16
dfs_random,hard,565,1068,521.0,716,True,23
dfs_random,hard,423,657,401.0,514,True,14
dfs_random,hard,943,2115,873.0,1216,True,33
best_first,hard,411,913,11.0,18,True,10
astar,hard,407,1023,11.0,18,True,11
