algorithm,case,heuristic,nodes_mean,nodes_std,path_cost_mean,path_cost_std,path_len_mean,path_len_std,runs,success_rate,time_ms_mean,time_ms_std
astar,easy,goal,123.0,0.0,15.0,0.0,24.0,0.0,1,1.0,0.0,0.0
astar,easy,next,116.0,0.0,15.0,0.0,24.0,0.0,1,1.0,0.0,0.0
astar,easy,waypoints,103.0,0.0,15.0,0.0,24.0,0.0,1,1.0,0.0,0.0
astar,easy,zero,132.0,0.0,15.0,0.0,24.0,0.0,1,1.0,0.0,0.0
best_first,easy,goal,116.0,0.0,15.0,0.0,24.0,0.0,1,1.0,0.0,0.0
best_first,easy,next,122.0,0.0,15.0,0.0,24.0,0.0,1,1.0,0.0,0.0
best_first,easy,waypoints,79.0,0.0,21.0,0.0,30.0,0.0,1,1.0,0.0,0.0
best_first,easy,zero,141.0,0.0,15.0,0.0,24.0,0.0,1,1.0,0.0,0.0
bfs,easy,n/a,141.0,0.0,15.0,0.0,24.0,0.0,1,1.0,0.0,0.0
dfs_fixed,easy,n/a,48.0,0.0,21.0,0.0,30.0,0.0,1,1.0,0.0,0.0
dfs_random,easy,n/a,52.0,7.772,19.8,4.49,29.2,5.154,5,1.0,0.0,0.0
astar,hard,goal,123.0,0.0,18.0,0.0,26.0,0.0,1,1.0,0.0,0.0
astar,hard,next,116.0,0.0,18.0,0.0,26.0,0.0,1,1.0,0.0,0.0
astar,hard,waypoints,103.0,0.0,18.0,0.0,26.0,0.0,1,1.0,0.0,0.0
astar,hard,zero,132.0,0.0,18.0,0.0,26.0,0.0,1,1.0,0.0,0.0
best_first,hard,goal,117.0,0.0,18.0,0.0,26.0,0.0,1,1.0,0.0,0.0
best_first,hard,next,123.0,0.0,18.0,0.0,26.0,0.0,1,1.0,0.0,0.0
best_first,hard,waypoints,81.0,0.0,24.0,0.0,32.0,0.0,1,1.0,0.0,0.0
best_first,hard,zero,141.0,0.0,18.0,0.0,26.0,0.0,1,1.0,0.0,0.0
bfs,hard,n/a,141.0,0.0,18.0,0.0,26.0,0.0,1,1.0,0.0,0.0
dfs_fixed,hard,n/a,50.0,0.0,24.0,0.0,32.0,0.0,1,1.0,0.0,0.0
dfs_random,hard,n/a,54.0,5.441,22.8,4.49,31.2,5.154,5,1.0,0.0,0.0
astar,medium,goal,127.0,0.0,14.0,0.0,20.0,0.0,1,1.0,0.0,0.0
astar,medium,next,121.0,0.0,14.0,0.0,20.0,0.0,1,1.0,0.0,0.0
astar,medium,waypoints,100.0,0.0,14.0,0.0,20.0,0.0,1,1.0,0.0,0.0
astar,medium,zero,135.0,0.0,14.0,0.0,20.0,0.0,1,1.0,0.0,0.0
best_first,medium,goal,118.0,0.0,14.0,0.0,20.0,0.0,1,1.0,0.0,0.0
best_first,medium,next,120.0,0.0,14.0,0.0,20.0,0.0,1,1.0,0.0,0.0
best_first,medium,waypoints,76.0,0.0,20.0,0.0,26.0,0.0,1,1.0,0.0,0.0
best_first,medium,zero,144.0,0.0,14.0,0.0,20.0,0.0,1,1.0,0.0,0.0
bfs,medium,n/a,144.0,0.0,14.0,0.0,20.0,0.0,1,1.0,0.0,0.0
dfs_fixed,medium,n/a,63.0,0.0,36.0,0.0,48.0,0.0,1,1.0,0.0,0.0
dfs_random,medium,n/a,44.6,12.909,19.6,4.964,26.8,6.4,5,1.0,0.0,0.0
